cod_muni|municipio|cod_prov|provincia|cod_ccaa|ccaa
01051|Agurain/Salvatierra|01|Araba/Álava|16|País Vasco
01001|Alegría-Dulantzi|01|Araba/Álava|16|País Vasco
01002|Amurrio|01|Araba/Álava|16|País Vasco
01049|Añana|01|Araba/Álava|16|País Vasco
01003|Aramaio|01|Araba/Álava|16|País Vasco
01006|Armiñón|01|Araba/Álava|16|País Vasco
01037|Arraia-Maeztu|01|Araba/Álava|16|País Vasco
01008|Arratzua-Ubarrundia|01|Araba/Álava|16|País Vasco
01004|Artziniega|01|Araba/Álava|16|País Vasco
01009|Asparrena|01|Araba/Álava|16|País Vasco
01010|Ayala/Aiara|01|Araba/Álava|16|País Vasco
01011|Baños de Ebro/Mañueta|01|Araba/Álava|16|País Vasco
01013|Barrundia|01|Araba/Álava|16|País Vasco
01014|Berantevilla|01|Araba/Álava|16|País Vasco
01016|Bernedo|01|Araba/Álava|16|País Vasco
01017|Campezo/Kanpezu|01|Araba/Álava|16|País Vasco
01021|Elburgo/Burgelu|01|Araba/Álava|16|País Vasco
01022|Elciego|01|Araba/Álava|16|País Vasco
01023|Elvillar/Bilar|01|Araba/Álava|16|País Vasco
01047|Erriberabeitia|01|Araba/Álava|16|País Vasco
01046|Erriberagoitia/Ribera Alta|01|Araba/Álava|16|País Vasco
01056|Harana/Valle de Arana|01|Araba/Álava|16|País Vasco
01901|Iruña Oka/Iruña de Oca|01|Araba/Álava|16|País Vasco
01027|Iruraiz-Gauna|01|Araba/Álava|16|País Vasco
01019|Kripan|01|Araba/Álava|16|País Vasco
01020|Kuartango|01|Araba/Álava|16|País Vasco
01028|Labastida/Bastida|01|Araba/Álava|16|País Vasco
01030|Lagrán|01|Araba/Álava|16|País Vasco
01031|Laguardia|01|Araba/Álava|16|País Vasco
01032|Lanciego/Lantziego|01|Araba/Álava|16|País Vasco
01902|Lantarón|01|Araba/Álava|16|País Vasco
01033|Lapuebla de Labarca|01|Araba/Álava|16|País Vasco
01036|Laudio/Llodio|01|Araba/Álava|16|País Vasco
01058|Legutio|01|Araba/Álava|16|País Vasco
01034|Leza|01|Araba/Álava|16|País Vasco
01039|Moreda de Álava/Moreda Araba|01|Araba/Álava|16|País Vasco
01041|Navaridas|01|Araba/Álava|16|País Vasco
01042|Okondo|01|Araba/Álava|16|País Vasco
01043|Oyón-Oion|01|Araba/Álava|16|País Vasco
01044|Peñacerrada-Urizaharra|01|Araba/Álava|16|País Vasco
01052|Samaniego|01|Araba/Álava|16|País Vasco
01053|San Millán/Donemiliaga|01|Araba/Álava|16|País Vasco
01054|Urkabustaiz|01|Araba/Álava|16|País Vasco
01055|Valdegovía/Gaubea|01|Araba/Álava|16|País Vasco
01057|Villabuena de Álava/Eskuernaga|01|Araba/Álava|16|País Vasco
01059|Vitoria-Gasteiz|01|Araba/Álava|16|País Vasco
01060|Yécora/Iekora|01|Araba/Álava|16|País Vasco
01061|Zalduondo|01|Araba/Álava|16|País Vasco
01062|Zambrana|01|Araba/Álava|16|País Vasco
01018|Zigoitia|01|Araba/Álava|16|País Vasco
01063|Zuia|01|Araba/Álava|16|País Vasco
02001|Abengibre|02|Albacete|08|Castilla - La Mancha
02002|Alatoz|02|Albacete|08|Castilla - La Mancha
02003|Albacete|02|Albacete|08|Castilla - La Mancha
02004|Albatana|02|Albacete|08|Castilla - La Mancha
02005|Alborea|02|Albacete|08|Castilla - La Mancha
02006|Alcadozo|02|Albacete|08|Castilla - La Mancha
02007|Alcalá del Júcar|02|Albacete|08|Castilla - La Mancha
02008|Alcaraz|02|Albacete|08|Castilla - La Mancha
02009|Almansa|02|Albacete|08|Castilla - La Mancha
02010|Alpera|02|Albacete|08|Castilla - La Mancha
02011|Ayna|02|Albacete|08|Castilla - La Mancha
02012|Balazote|02|Albacete|08|Castilla - La Mancha
02014|Ballestero, El|02|Albacete|08|Castilla - La Mancha
02013|Balsa de Ves|02|Albacete|08|Castilla - La Mancha
02015|Barrax|02|Albacete|08|Castilla - La Mancha
02016|Bienservida|02|Albacete|08|Castilla - La Mancha
02017|Bogarra|02|Albacete|08|Castilla - La Mancha
02018|Bonete|02|Albacete|08|Castilla - La Mancha
02019|Bonillo, El|02|Albacete|08|Castilla - La Mancha
02020|Carcelén|02|Albacete|08|Castilla - La Mancha
02021|Casas de Juan Núñez|02|Albacete|08|Castilla - La Mancha
02022|Casas de Lázaro|02|Albacete|08|Castilla - La Mancha
02023|Casas de Ves|02|Albacete|08|Castilla - La Mancha
02024|Casas-Ibáñez|02|Albacete|08|Castilla - La Mancha
02025|Caudete|02|Albacete|08|Castilla - La Mancha
02026|Cenizate|02|Albacete|08|Castilla - La Mancha
02029|Chinchilla de Monte-Aragón|02|Albacete|08|Castilla - La Mancha
02027|Corral-Rubio|02|Albacete|08|Castilla - La Mancha
02028|Cotillas|02|Albacete|08|Castilla - La Mancha
02030|Elche de la Sierra|02|Albacete|08|Castilla - La Mancha
02031|Férez|02|Albacete|08|Castilla - La Mancha
02032|Fuensanta|02|Albacete|08|Castilla - La Mancha
02033|Fuente-Álamo|02|Albacete|08|Castilla - La Mancha
02034|Fuentealbilla|02|Albacete|08|Castilla - La Mancha
02035|Gineta, La|02|Albacete|08|Castilla - La Mancha
02036|Golosalvo|02|Albacete|08|Castilla - La Mancha
02037|Hellín|02|Albacete|08|Castilla - La Mancha
02038|Herrera, La|02|Albacete|08|Castilla - La Mancha
02039|Higueruela|02|Albacete|08|Castilla - La Mancha
02040|Hoya-Gonzalo|02|Albacete|08|Castilla - La Mancha
02041|Jorquera|02|Albacete|08|Castilla - La Mancha
02042|Letur|02|Albacete|08|Castilla - La Mancha
02043|Lezuza|02|Albacete|08|Castilla - La Mancha
02044|Liétor|02|Albacete|08|Castilla - La Mancha
02045|Madrigueras|02|Albacete|08|Castilla - La Mancha
02046|Mahora|02|Albacete|08|Castilla - La Mancha
02047|Masegoso|02|Albacete|08|Castilla - La Mancha
02048|Minaya|02|Albacete|08|Castilla - La Mancha
02049|Molinicos|02|Albacete|08|Castilla - La Mancha
02050|Montalvos|02|Albacete|08|Castilla - La Mancha
02051|Montealegre del Castillo|02|Albacete|08|Castilla - La Mancha
02052|Motilleja|02|Albacete|08|Castilla - La Mancha
02053|Munera|02|Albacete|08|Castilla - La Mancha
02054|Navas de Jorquera|02|Albacete|08|Castilla - La Mancha
02055|Nerpio|02|Albacete|08|Castilla - La Mancha
02056|Ontur|02|Albacete|08|Castilla - La Mancha
02057|Ossa de Montiel|02|Albacete|08|Castilla - La Mancha
02058|Paterna del Madera|02|Albacete|08|Castilla - La Mancha
02060|Peñas de San Pedro|02|Albacete|08|Castilla - La Mancha
02059|Peñascosa|02|Albacete|08|Castilla - La Mancha
02061|Pétrola|02|Albacete|08|Castilla - La Mancha
02062|Povedilla|02|Albacete|08|Castilla - La Mancha
02901|Pozo Cañada|02|Albacete|08|Castilla - La Mancha
02063|Pozohondo|02|Albacete|08|Castilla - La Mancha
02064|Pozo-Lorente|02|Albacete|08|Castilla - La Mancha
02065|Pozuelo|02|Albacete|08|Castilla - La Mancha
02066|Recueja, La|02|Albacete|08|Castilla - La Mancha
02067|Riópar|02|Albacete|08|Castilla - La Mancha
02068|Robledo|02|Albacete|08|Castilla - La Mancha
02069|Roda, La|02|Albacete|08|Castilla - La Mancha
02070|Salobre|02|Albacete|08|Castilla - La Mancha
02071|San Pedro|02|Albacete|08|Castilla - La Mancha
02072|Socovos|02|Albacete|08|Castilla - La Mancha
02073|Tarazona de la Mancha|02|Albacete|08|Castilla - La Mancha
02074|Tobarra|02|Albacete|08|Castilla - La Mancha
02075|Valdeganga|02|Albacete|08|Castilla - La Mancha
02076|Vianos|02|Albacete|08|Castilla - La Mancha
02077|Villa de Ves|02|Albacete|08|Castilla - La Mancha
02078|Villalgordo del Júcar|02|Albacete|08|Castilla - La Mancha
02079|Villamalea|02|Albacete|08|Castilla - La Mancha
02080|Villapalacios|02|Albacete|08|Castilla - La Mancha
02081|Villarrobledo|02|Albacete|08|Castilla - La Mancha
02082|Villatoya|02|Albacete|08|Castilla - La Mancha
02083|Villavaliente|02|Albacete|08|Castilla - La Mancha
02084|Villaverde de Guadalimar|02|Albacete|08|Castilla - La Mancha
02085|Viveros|02|Albacete|08|Castilla - La Mancha
02086|Yeste|02|Albacete|08|Castilla - La Mancha
03002|Agost|03|Alicante/Alacant|10|Comunitat Valenciana
03003|Agres|03|Alicante/Alacant|10|Comunitat Valenciana
03004|Aigües|03|Alicante/Alacant|10|Comunitat Valenciana
03005|Albatera|03|Alicante/Alacant|10|Comunitat Valenciana
03006|Alcalalí|03|Alicante/Alacant|10|Comunitat Valenciana
03008|Alcoleja|03|Alicante/Alacant|10|Comunitat Valenciana
03007|Alcosser|03|Alicante/Alacant|10|Comunitat Valenciana
03009|Alcoy/Alcoi|03|Alicante/Alacant|10|Comunitat Valenciana
03010|Alfafara|03|Alicante/Alacant|10|Comunitat Valenciana
03011|Alfàs del Pi, l'|03|Alicante/Alacant|10|Comunitat Valenciana
03012|Algorfa|03|Alicante/Alacant|10|Comunitat Valenciana
03013|Algueña|03|Alicante/Alacant|10|Comunitat Valenciana
03014|Alicante/Alacant|03|Alicante/Alacant|10|Comunitat Valenciana
03015|Almoradí|03|Alicante/Alacant|10|Comunitat Valenciana
03016|Almudaina|03|Alicante/Alacant|10|Comunitat Valenciana
03017|Alqueria d'Asnar, l'|03|Alicante/Alacant|10|Comunitat Valenciana
03018|Altea|03|Alicante/Alacant|10|Comunitat Valenciana
03019|Aspe|03|Alicante/Alacant|10|Comunitat Valenciana
03001|Atzúbia, l'|03|Alicante/Alacant|10|Comunitat Valenciana
03020|Balones|03|Alicante/Alacant|10|Comunitat Valenciana
03021|Banyeres de Mariola|03|Alicante/Alacant|10|Comunitat Valenciana
03022|Benasau|03|Alicante/Alacant|10|Comunitat Valenciana
03023|Beneixama|03|Alicante/Alacant|10|Comunitat Valenciana
03024|Benejúzar|03|Alicante/Alacant|10|Comunitat Valenciana
03025|Benferri|03|Alicante/Alacant|10|Comunitat Valenciana
